user_id,age,gender,activity_type,duration_minutes,calories_burned,heart_rate_avg,steps,distance_km,sleep_hours,water_intake_ml,weight_kg,fitness_goal,workout_intensity,mood_score
37,43,Male,HIIT,32,400,166,2600,1.9,6.0,2600,82.3,Weight Loss,High,6
38,30,Female,Walking,50,200,102,6000,4.4,8.0,1600,61.2,General Fitness,Low,9
39,21,Male,Cycling,45,420,142,0,15.5,7.0,2100,72.8,Endurance,Medium,8
40,47,Female,Swimming,60,450,130,0,1.8,7.5,2500,68.4,Weight Loss,High,8
41,34,Male,Weight Training,85,440,126,1400,0.95,6.0,3100,91.2,Muscle Gain,High,7
42,29,Female,Running,42,380,144,4800,3.8,7.0,2000,57.8,Weight Loss,Medium,8
43,38,Male,Yoga,50,170,88,650,0.4,8.5,1700,76.1,Flexibility,Low,10
44,25,Female,HIIT,26,340,170,2100,1.5,6.5,2100,53.9,Weight Loss,High,6
45,53,Male,Walking,80,320,110,9800,7.2,7.5,1900,86.5,General Fitness,Low,8
46,31,Female,Cycling,55,480,136,0,18.5,7.0,2200,63.5,Endurance,Medium,8
47,27,Male,Swimming,48,390,129,0,1.5,6.5,2300,79.3,Endurance,Medium,8
48,41,Female,Weight Training,65,340,120,1050,0.7,7.5,2400,69.8,Muscle Gain,Medium,8
49,23,Male,Running,65,580,152,7500,6.0,6.0,2600,71.9,Endurance,High,7
50,36,Female,Yoga,80,230,91,850,0.55,8.0,1850,60.5,Flexibility,Low,9
51,45,Male,HIIT,30,390,164,2400,1.75,6.0,2400,84.1,Weight Loss,High,6
52,32,Female,Walking,55,210,104,6500,4.8,8.0,1650,62.1,General Fitness,Low,9
53,28,Male,Cycling,100,720,148,0,32.0,7.0,2700,78.6,Endurance,High,8
54,39,Female,Swimming,42,360,127,0,1.35,7.5,2250,66.8,Weight Loss,Medium,7
55,26,Male,Weight Training,75,400,127,1250,0.85,6.5,2850,87.9,Muscle Gain,High,7
56,49,Female,Running,38,330,136,4200,3.4,7.0,1950,67.5,Weight Loss,Medium,7
57,33,Male,Yoga,55,180,87,700,0.45,8.0,1750,75.3,Flexibility,Low,9
58,24,Female,HIIT,24,310,168,1900,1.4,6.5,1950,55.1,Weight Loss,High,6
59,42,Male,Walking,70,270,108,8500,6.2,7.5,1750,81.8,General Fitness,Low,8
60,30,Female,Cycling,65,540,139,0,22.0,7.0,2350,61.7,Endurance,High,8
61,35,Male,Swimming,52,410,131,0,1.6,6.5,2450,80.4,Endurance,Medium,8
62,27,Female,Weight Training,55,300,116,950,0.65,7.5,2250,58.9,Muscle Gain,Medium,7
63,22,Male,Running,48,430,147,5500,4.4,6.5,2250,73.6,Weight Loss,High,7
64,44,Female,Yoga,70,220,93,800,0.52,8.5,1850,64.8,Flexibility,Low,10
65,29,Male,HIIT,33,410,169,2700,1.95,6.0,2550,77.8,Weight Loss,High,6
66,37,Female,Walking,60,230,106,7200,5.3,8.0,1700,65.2,General Fitness,Low,9
67,51,Male,Cycling,50,440,137,0,16.5,7.0,2150,84.7,Endurance,Medium,8
68,34,Female,Swimming,58,440,133,0,1.75,7.5,2550,67.1,Weight Loss,High,8
69,26,Male,Weight Training,95,480,132,1600,1.1,6.0,3200,93.8,Muscle Gain,High,7
70,40,Female,Running,32,290,139,3700,3.0,7.0,1850,63.2,Weight Loss,Medium,7
71,31,Male,Yoga,48,160,86,600,0.38,8.0,1650,74.1,Flexibility,Low,9
72,23,Female,HIIT,29,360,171,2300,1.65,6.0,2050,54.7,Weight Loss,High,6
73,46,Male,Walking,85,340,111,10500,7.7,7.5,1850,85.2,General Fitness,Low,8
74,28,Female,Cycling,70,560,141,0,23.5,7.0,2400,60.8,Endurance,High,8
75,36,Male,Swimming,44,370,128,0,1.4,6.5,2350,78.2,Endurance,Medium,7
76,43,Female,Weight Training,62,330,119,1020,0.72,7.5,2350,70.2,Muscle Gain,Medium,8
77,25,Male,Running,58,520,149,6700,5.4,6.5,2500,72.4,Endurance,High,7
78,38,Female,Yoga,85,240,92,880,0.58,8.5,1900,61.4,Flexibility,Low,10
79,32,Male,HIIT,34,415,167,2650,1.92,6.0,2500,79.5,Weight Loss,High,6
80,47,Female,Walking,52,205,103,6200,4.5,8.0,1620,68.7,General Fitness,Low,9
81,29,Male,Cycling,55,470,143,0,18.0,7.0,2250,76.9,Endurance,Medium,8
82,35,Female,Swimming,62,470,134,0,1.9,7.5,2600,65.8,Weight Loss,High,8
83,27,Male,Weight Training,82,425,129,1350,0.92,6.5,2950,90.1,Muscle Gain,High,7
84,41,Female,Running,36,320,140,4100,3.3,7.0,1920,64.5,Weight Loss,Medium,7
85,24,Male,Yoga,52,175,88,680,0.43,8.0,1720,73.8,Flexibility,Low,9
86,48,Female,HIIT,27,345,166,2050,1.48,6.5,2020,66.3,Weight Loss,High,6
87,33,Male,Walking,65,250,107,7800,5.7,7.5,1780,80.6,General Fitness,Low,8
88,30,Female,Cycling,48,420,135,0,14.0,7.0,2180,59.3,Endurance,Medium,7
89,21,Male,Swimming,38,330,125,0,1.2,6.5,2150,71.5,Endurance,Medium,7
90,45,Female,Weight Training,58,310,117,980,0.68,7.5,2280,69.4,Muscle Gain,Medium,8
91,28,Male,Running,52,470,148,6000,4.8,6.5,2380,74.8,Weight Loss,High,7
92,37,Female,Yoga,65,205,93,760,0.5,8.0,1820,60.9,Flexibility,Low,9
93,34,Male,HIIT,31,395,168,2500,1.8,6.0,2450,78.1,Weight Loss,High,6
94,50,Female,Walking,58,220,105,6800,5.0,8.0,1680,67.8,General Fitness,Low,9
95,26,Male,Cycling,85,620,146,0,28.0,7.0,2650,79.8,Endurance,High,8
96,42,Female,Swimming,48,390,129,0,1.5,7.5,2380,66.2,Weight Loss,Medium,8
97,31,Male,Weight Training,78,415,127,1280,0.88,6.5,2920,88.6,Muscle Gain,High,7
98,39,Female,Running,44,390,143,5000,4.0,7.0,2050,62.8,Weight Loss,High,8
99,23,Male,Yoga,42,145,84,550,0.35,8.0,1620,72.3,Flexibility,Low,9
100,44,Female,HIIT,25,330,165,2000,1.45,6.5,1980,65.5,Weight Loss,High,6
101,29,Male,Walking,72,280,109,8800,6.4,7.5,1820,82.4,General Fitness,Low,8
102,36,Female,Cycling,62,520,138,0,21.0,7.0,2320,62.4,Endurance,High,8
103,27,Male,Swimming,50,400,130,0,1.55,6.5,2420,77.6,Endurance,Medium,8
104,40,Female,Weight Training,68,350,121,1080,0.75,7.5,2450,71.2,Muscle Gain,Medium,8
105,32,Male,Running,62,550,151,7200,5.8,6.0,2580,75.1,Endurance,High,7
106,46,Female,Yoga,75,225,91,820,0.54,8.5,1880,63.5,Flexibility,Low,10
107,25,Male,HIIT,36,430,170,2850,2.05,6.0,2580,76.2,Weight Loss,High,6
108,51,Female,Walking,48,195,102,5800,4.2,8.0,1580,68.1,General Fitness,Low,9
109,33,Male,Cycling,42,380,139,0,13.5,7.0,2080,77.4,Endurance,Medium,7
110,28,Female,Swimming,54,420,131,0,1.65,7.5,2480,64.9,Weight Loss,High,8
111,35,Male,Weight Training,88,455,130,1450,0.98,6.0,3080,91.8,Muscle Gain,High,7
112,43,Female,Running,40,350,141,4600,3.7,7.0,1980,65.8,Weight Loss,Medium,8
113,22,Male,Yoga,58,190,89,720,0.47,8.0,1780,73.2,Flexibility,Low,9
114,38,Female,HIIT,28,355,169,2180,1.58,6.5,2080,56.8,Weight Loss,High,6
115,30,Male,Walking,78,305,110,9500,6.9,7.5,1880,83.1,General Fitness,Low,8
116,47,Female,Cycling,58,490,137,0,19.5,7.0,2280,64.1,Endurance,High,8
117,26,Male,Swimming,46,380,128,0,1.45,6.5,2320,78.5,Endurance,Medium,7
118,41,Female,Weight Training,64,345,120,1040,0.73,7.5,2420,70.8,Muscle Gain,Medium,8
119,34,Male,Running,56,500,149,6400,5.1,6.5,2450,73.9,Weight Loss,High,7
120,24,Female,Yoga,82,235,92,860,0.56,8.5,1920,59.2,Flexibility,Low,10
121,49,Male,HIIT,29,375,163,2280,1.65,6.0,2380,84.5,Weight Loss,High,6
122,31,Female,Walking,54,208,104,6400,4.7,8.0,1650,61.6,General Fitness,Low,9
123,28,Male,Cycling,95,680,147,0,30.5,7.0,2720,80.2,Endurance,High,8
124,37,Female,Swimming,56,440,132,0,1.72,7.5,2520,66.5,Weight Loss,High,8
125,23,Male,Weight Training,72,390,125,1180,0.82,6.5,2820,86.4,Muscle Gain,High,7
126,45,Female,Running,34,300,137,3900,3.1,7.0,1880,66.9,Weight Loss,Medium,7
127,36,Male,Yoga,46,155,85,620,0.4,8.0,1680,75.6,Flexibility,Low,9
128,27,Female,HIIT,32,380,172,2420,1.75,6.0,2150,55.4,Weight Loss,High,6
129,52,Male,Walking,82,330,111,10200,7.4,7.5,1920,85.8,General Fitness,Low,8
130,29,Female,Cycling,68,550,140,0,22.5,7.0,2380,61.2,Endurance,High,8
131,38,Male,Swimming,42,360,127,0,1.35,6.5,2280,79.1,Endurance,Medium,7
132,33,Female,Weight Training,60,325,118,1000,0.7,7.5,2320,68.5,Muscle Gain,Medium,7
133,25,Male,Running,64,570,152,7400,5.9,6.0,2620,72.8,Endurance,High,7
134,42,Female,Yoga,72,215,93,790,0.52,8.0,1850,62.3,Flexibility,Low,9
135,30,Male,HIIT,35,420,168,2720,1.96,6.0,2520,78.4,Weight Loss,High,6
136,48,Female,Walking,62,240,106,7400,5.4,8.0,1720,68.2,General Fitness,Low,9
137,34,Male,Cycling,52,450,141,0,17.0,7.0,2220,77.8,Endurance,Medium,8
138,26,Female,Swimming,60,460,133,0,1.82,7.5,2580,65.1,Weight Loss,High,8
139,40,Male,Weight Training,92,470,131,1550,1.05,6.0,3150,92.4,Muscle Gain,High,7
140,35,Female,Running,46,400,144,5200,4.2,7.0,2080,63.5,Weight Loss,High,8
141,21,Male,Yoga,40,140,83,530,0.34,8.0,1580,71.8,Flexibility,Low,9
142,46,Female,HIIT,26,340,166,2080,1.5,6.5,2000,66.8,Weight Loss,High,6
143,32,Male,Walking,68,260,108,8200,6.0,7.5,1800,81.5,General Fitness,Low,8
144,39,Female,Cycling,72,580,142,0,24.0,7.0,2450,63.8,Endurance,High,8
145,28,Male,Swimming,48,395,129,0,1.52,6.5,2380,78.8,Endurance,Medium,8
146,44,Female,Weight Training,66,355,121,1060,0.74,7.5,2480,71.5,Muscle Gain,Medium,8
147,31,Male,Running,54,485,148,6100,4.9,6.5,2420,74.2,Weight Loss,High,7
148,24,Female,Yoga,78,228,91,840,0.55,8.5,1900,58.8,Flexibility,Low,10
149,50,Male,HIIT,28,365,162,2200,1.6,6.0,2350,83.8,Weight Loss,High,6
150,33,Female,Walking,56,215,105,6600,4.8,8.0,1680,62.5,General Fitness,Low,9
151,27,Male,Cycling,88,640,148,0,29.0,7.0,2680,79.5,Endurance,High,8
152,41,Female,Swimming,52,410,130,0,1.6,7.5,2450,67.2,Weight Loss,High,8
153,36,Male,Weight Training,76,405,128,1300,0.9,6.5,2880,89.2,Muscle Gain,High,7
154,29,Female,Running,38,340,142,4400,3.5,7.0,1950,61.8,Weight Loss,Medium,7
155,43,Male,Yoga,50,165,87,670,0.44,8.0,1720,76.4,Flexibility,Low,9
156,25,Female,HIIT,30,370,171,2350,1.7,6.0,2120,54.9,Weight Loss,High,6
157,47,Male,Walking,75,295,110,9200,6.7,7.5,1850,84.2,General Fitness,Low,8
158,30,Female,Cycling,64,530,139,0,21.5,7.0,2350,62.1,Endurance,High,8
159,22,Male,Swimming,44,365,126,0,1.38,6.5,2250,76.8,Endurance,Medium,7
160,38,Female,Weight Training,58,315,119,990,0.69,7.5,2350,69.8,Muscle Gain,Medium,8
161,34,Male,Running,60,535,150,6800,5.5,6.0,2550,74.5,Endurance,High,7
162,26,Female,Yoga,68,200,92,780,0.51,8.5,1880,60.2,Flexibility,Low,10
163,49,Male,HIIT,31,385,164,2450,1.78,6.0,2420,83.2,Weight Loss,High,6
164,35,Female,Walking,50,198,103,6000,4.4,8.0,1620,64.8,General Fitness,Low,9
165,28,Male,Cycling,78,570,145,0,26.0,7.0,2580,78.1,Endurance,High,8
166,42,Female,Swimming,58,450,132,0,1.78,7.5,2550,66.8,Weight Loss,High,8
167,31,Male,Weight Training,84,435,129,1380,0.95,6.0,3020,90.5,Muscle Gain,High,7
168,45,Female,Running,42,365,140,4800,3.8,7.0,2020,65.2,Weight Loss,Medium,8
169,23,Male,Yoga,54,178,88,700,0.46,8.0,1750,72.6,Flexibility,Low,9
170,37,Female,HIIT,27,348,167,2120,1.54,6.5,2050,57.2,Weight Loss,High,6
171,51,Male,Walking,80,320,111,10000,7.3,7.5,1900,85.5,General Fitness,Low,8
172,32,Female,Cycling,60,500,138,0,20.0,7.0,2300,61.5,Endurance,High,8
173,26,Male,Swimming,50,405,130,0,1.58,6.5,2400,77.9,Endurance,Medium,8
174,40,Female,Weight Training,70,365,122,1100,0.77,7.5,2500,72.1,Muscle Gain,Medium,8
175,29,Male,Running,58,520,149,6600,5.3,6.5,2500,73.5,Weight Loss,High,7
176,36,Female,Yoga,76,222,92,830,0.54,8.5,1920,61.8,Flexibility,Low,10
177,44,Male,HIIT,33,408,166,2620,1.9,6.0,2480,81.8,Weight Loss,High,6
178,28,Female,Walking,58,225,105,6900,5.0,8.0,1700,63.2,General Fitness,Low,9
179,35,Male,Cycling,70,540,143,0,23.0,7.0,2450,79.2,Endurance,High,8
180,47,Female,Swimming,46,385,128,0,1.48,7.5,2400,67.5,Weight Loss,Medium,8
181,24,Male,Weight Training,70,375,124,1150,0.8,6.5,2750,85.8,Muscle Gain,High,7
182,39,Female,Running,50,440,145,5600,4.5,7.0,2150,64.2,Weight Loss,High,8
183,33,Male,Yoga,44,152,85,590,0.38,8.0,1680,74.8,Flexibility,Low,9
184,27,Female,HIIT,34,395,173,2580,1.86,6.0,2200,56.1,Weight Loss,High,6
185,53,Male,Walking,70,275,109,8500,6.2,7.5,1820,84.8,General Fitness,Low,8
186,30,Female,Cycling,56,470,137,0,18.5,7.0,2280,60.5,Endurance,Medium,8
187,38,Male,Swimming,54,425,131,0,1.68,6.5,2480,80.1,Endurance,Medium,8
188,25,Female,Weight Training,62,335,120,1020,0.71,7.5,2380,68.2,Muscle Gain,Medium,7
189,42,Male,Running,48,430,147,5400,4.3,6.5,2380,76.2,Weight Loss,High,7
190,31,Female,Yoga,84,242,93,890,0.58,8.5,1950,59.5,Flexibility,Low,10
191,46,Male,HIIT,30,378,163,2320,1.68,6.0,2400,82.8,Weight Loss,High,6
192,34,Female,Walking,52,202,104,6200,4.5,8.0,1650,63.8,General Fitness,Low,9
193,27,Male,Cycling,92,670,149,0,31.0,7.0,2720,78.8,Endurance,High,8
194,43,Female,Swimming,50,405,130,0,1.55,7.5,2480,66.1,Weight Loss,High,8
195,29,Male,Weight Training,80,420,128,1320,0.91,6.5,2950,88.9,Muscle Gain,High,7
196,48,Female,Running,36,315,138,4000,3.2,7.0,1920,67.2,Weight Loss,Medium,7
197,22,Male,Yoga,48,162,86,640,0.42,8.0,1700,71.5,Flexibility,Low,9
198,36,Female,HIIT,29,362,170,2250,1.62,6.0,2100,55.8,Weight Loss,High,6
199,50,Male,Walking,88,350,112,10800,7.9,7.5,1950,86.2,General Fitness,Low,8
200,33,Female,Cycling,66,545,140,0,22.0,7.0,2400,62.8,Endurance,High,8
201,28,Male,Swimming,46,380,127,0,1.45,6.5,2350,77.5,Endurance,Medium,7
202,41,Female,Weight Training,72,375,123,1140,0.79,7.5,2550,72.8,Muscle Gain,Medium,8
203,35,Male,Running,66,590,153,7600,6.1,6.0,2650,75.8,Endurance,High,7
204,24,Female,Yoga,70,208,91,770,0.5,8.5,1850,58.5,Flexibility,Low,10
205,52,Male,HIIT,27,358,161,2150,1.55,6.0,2320,84.2,Weight Loss,High,6
206,30,Female,Walking,60,232,106,7200,5.2,8.0,1720,64.5,General Fitness,Low,9
207,37,Male,Cycling,58,490,142,0,19.0,7.0,2320,78.5,Endurance,Medium,8
208,26,Female,Swimming,62,480,135,0,1.9,7.5,2620,65.8,Weight Loss,High,8
209,45,Male,Weight Training,86,450,130,1480,1.0,6.0,3100,92.1,Muscle Gain,High,7
210,32,Female,Running,44,385,143,5000,4.0,7.0,2050,62.2,Weight Loss,High,8
211,28,Male,Yoga,52,172,87,680,0.45,8.0,1750,73.5,Flexibility,Low,9
212,38,Female,HIIT,32,388,172,2480,1.8,6.0,2180,57.5,Weight Loss,High,6
213,49,Male,Walking,76,300,110,9400,6.8,7.5,1880,84.5,General Fitness,Low,8
214,34,Female,Cycling,74,590,143,0,24.5,7.0,2480,63.2,Endurance,High,8
215,23,Male,Swimming,40,345,125,0,1.3,6.5,2200,75.8,Endurance,Medium,7
216,44,Female,Weight Training,60,330,119,1010,0.71,7.5,2400,70.5,Muscle Gain,Medium,8
217,31,Male,Running,52,465,147,6000,4.8,6.5,2450,74.8,Weight Loss,High,7
218,27,Female,Yoga,80,238,92,870,0.57,8.5,1940,60.8,Flexibility,Low,10
219,40,Male,HIIT,34,415,167,2680,1.94,6.0,2520,80.5,Weight Loss,High,6
220,35,Female,Walking,48,192,102,5700,4.2,8.0,1600,62.8,General Fitness,Low,9
221,29,Male,Cycling,82,610,147,0,27.5,7.0,2650,79.8,Endurance,High,8
222,46,Female,Swimming,54,430,131,0,1.68,7.5,2520,67.8,Weight Loss,High,8
223,26,Male,Weight Training,74,395,126,1230,0.85,6.5,2850,87.2,Muscle Gain,High,7
224,42,Female,Running,40,355,141,4500,3.6,7.0,2000,65.5,Weight Loss,Medium,7
225,33,Male,Yoga,46,158,86,630,0.41,8.0,1700,75.2,Flexibility,Low,9
226,24,Female,HIIT,28,352,170,2200,1.58,6.5,2050,54.5,Weight Loss,High,6
227,51,Male,Walking,84,335,111,10400,7.6,7.5,1920,85.8,General Fitness,Low,8
228,28,Female,Cycling,52,440,136,0,17.0,7.0,2220,60.2,Endurance,Medium,7
229,36,Male,Swimming,58,450,133,0,1.78,6.5,2520,80.8,Endurance,High,8
230,39,Female,Weight Training,68,360,122,1090,0.76,7.5,2480,71.8,Muscle Gain,Medium,8
231,25,Male,Running,70,620,154,8000,6.4,6.0,2700,73.2,Endurance,High,7
232,47,Female,Yoga,74,220,92,810,0.53,8.5,1900,64.2,Flexibility,Low,10
233,32,Male,HIIT,36,428,169,2780,2.0,6.0,2580,78.8,Weight Loss,High,6
234,43,Female,Walking,55,212,105,6500,4.75,8.0,1680,66.5,General Fitness,Low,9
235,30,Male,Cycling,68,530,144,0,22.5,7.0,2480,78.2,Endurance,High,8
236,37,Female,Swimming,48,395,129,0,1.52,7.5,2420,66.5,Weight Loss,Medium,8
237,27,Male,Weight Training,78,410,127,1290,0.89,6.5,2920,89.5,Muscle Gain,High,7
238,48,Female,Running,38,330,139,4200,3.4,7.0,1950,67.8,Weight Loss,Medium,7
239,21,Male,Yoga,56,185,88,710,0.46,8.0,1780,72.2,Flexibility,Low,9
240,34,Female,HIIT,30,375,171,2380,1.72,6.0,2150,56.5,Weight Loss,High,6
241,53,Male,Walking,72,285,109,8800,6.4,7.5,1850,84.5,General Fitness,Low,8
242,29,Female,Cycling,70,565,141,0,23.5,7.0,2420,61.8,Endurance,High,8
243,41,Male,Swimming,52,415,131,0,1.62,6.5,2450,79.5,Endurance,Medium,8
244,33,Female,Weight Training,64,340,120,1050,0.73,7.5,2420,69.5,Muscle Gain,Medium,8
245,26,Male,Running,56,505,149,6500,5.2,6.5,2520,74.2,Weight Loss,High,7
246,38,Female,Yoga,86,248,93,900,0.59,8.5,1960,61.2,Flexibility,Low,10
247,45,Male,HIIT,32,398,165,2550,1.85,6.0,2450,82.5,Weight Loss,High,6
248,31,Female,Walking,62,242,107,7500,5.5,8.0,1750,65.2,General Fitness,Low,9
249,28,Male,Cycling,75,560,145,0,25.0,7.0,2550,79.2,Endurance,High,8
250,42,Female,Swimming,56,445,132,0,1.75,7.5,2550,67.2,Weight Loss,High,8
251,35,Male,Weight Training,90,465,131,1520,1.02,6.0,3120,91.5,Muscle Gain,High,7
252,24,Female,Running,48,420,145,5400,4.3,7.0,2120,60.5,Weight Loss,High,8
253,50,Male,Yoga,50,168,87,660,0.43,8.0,1720,76.8,Flexibility,Low,9
254,27,Female,HIIT,26,338,168,2050,1.48,6.5,2020,55.2,Weight Loss,High,6
255,44,Male,Walking,78,308,111,9600,7.0,7.5,1900,83.8,General Fitness,Low,8
256,36,Female,Cycling,58,485,138,0,19.5,7.0,2320,62.5,Endurance,High,8
257,22,Male,Swimming,42,355,126,0,1.35,6.5,2250,76.5,Endurance,Medium,7
258,39,Female,Weight Training,56,320,118,980,0.68,7.5,2350,70.2,Muscle Gain,Medium,7
259,30,Male,Running,62,555,151,7100,5.7,6.0,2600,75.5,Endurance,High,7
260,46,Female,Yoga,78,232,92,850,0.55,8.5,1920,63.8,Flexibility,Low,10
261,33,Male,HIIT,35,422,168,2720,1.96,6.0,2550,79.2,Weight Loss,High,6
262,28,Female,Walking,50,200,103,6000,4.4,8.0,1640,62.2,General Fitness,Low,9
263,41,Male,Cycling,85,630,148,0,28.5,7.0,2680,80.5,Endurance,High,8
264,35,Female,Swimming,60,470,134,0,1.85,7.5,2600,66.8,Weight Loss,High,8
265,25,Male,Weight Training,82,430,129,1380,0.95,6.5,2980,88.2,Muscle Gain,High,7
266,49,Female,Running,34,300,137,3800,3.0,7.0,1900,68.5,Weight Loss,Medium,7
267,31,Male,Yoga,48,160,86,640,0.42,8.0,1700,74.5,Flexibility,Low,9
268,23,Female,HIIT,31,368,172,2320,1.68,6.0,2120,54.8,Weight Loss,High,6
269,47,Male,Walking,82,325,110,10100,7.35,7.5,1900,85.2,General Fitness,Low,8
270,34,Female,Cycling,62,515,139,0,20.5,7.0,2350,61.5,Endurance,High,8
271,29,Male,Swimming,48,395,128,0,1.52,6.5,2380,78.2,Endurance,Medium,7
272,43,Female,Weight Training,70,370,123,1110,0.78,7.5,2520,72.5,Muscle Gain,Medium,8
273,26,Male,Running,58,520,150,6700,5.4,6.5,2480,73.8,Weight Loss,High,7
274,37,Female,Yoga,72,215,91,790,0.52,8.5,1880,60.5,Flexibility,Low,10
275,52,Male,HIIT,28,365,162,2200,1.6,6.0,2380,84.5,Weight Loss,High,6
276,32,Female,Walking,54,210,104,6400,4.65,8.0,1670,64.2,General Fitness,Low,9
277,28,Male,Cycling,90,660,149,0,30.0,7.0,2700,79.8,Endurance,High,8
278,40,Female,Swimming,54,435,131,0,1.7,7.5,2500,67.5,Weight Loss,High,8
279,36,Male,Weight Training,84,445,130,1440,0.98,6.0,3050,90.8,Muscle Gain,High,7
280,25,Female,Running,52,455,146,5800,4.6,7.0,2180,61.2,Weight Loss,High,8
281,44,Male,Yoga,54,175,88,700,0.46,8.0,1760,76.2,Flexibility,Low,9
282,30,Female,HIIT,33,392,173,2500,1.8,6.0,2200,57.8,Weight Loss,High,6
283,48,Male,Walking,74,292,109,9100,6.6,7.5,1870,84.2,General Fitness,Low,8
284,27,Female,Cycling,66,540,140,0,22.0,7.0,2400,60.8,Endurance,High,8
285,38,Male,Swimming,56,440,132,0,1.72,6.5,2500,80.5,Endurance,High,8
286,33,Female,Weight Training,62,338,119,1030,0.72,7.5,2400,69.2,Muscle Gain,Medium,8
287,24,Male,Running,68,600,153,7800,6.2,6.0,2680,74.5,Endurance,High,7
288,41,Female,Yoga,82,242,93,880,0.58,8.5,1950,62.5,Flexibility,Low,10
289,35,Male,HIIT,34,412,166,2650,1.92,6.0,2500,78.5,Weight Loss,High,6
290,50,Female,Walking,58,225,105,6800,5.0,8.0,1700,68.2,General Fitness,Low,9
291,29,Male,Cycling,72,550,144,0,24.0,7.0,2500,78.5,Endurance,High,8
292,45,Female,Swimming,50,410,130,0,1.58,7.5,2450,66.2,Weight Loss,Medium,8
293,31,Male,Weight Training,76,405,127,1280,0.88,6.5,2900,89.2,Muscle Gain,High,7
294,37,Female,Running,46,400,143,5200,4.2,7.0,2080,64.8,Weight Loss,High,8
295,22,Male,Yoga,44,150,84,580,0.38,8.0,1660,72.8,Flexibility,Low,9
296,43,Female,HIIT,28,358,169,2180,1.58,6.5,2080,66.5,Weight Loss,High,6
297,34,Male,Walking,70,270,108,8400,6.1,7.5,1820,82.2,General Fitness,Low,8
298,26,Female,Cycling,54,455,137,0,18.0,7.0,2280,59.8,Endurance,Medium,8
